fiscal_year,state,age_group,category,gender,value,unit,note
2023-24,All India,22 to 25 years,Number of New EPF Subscribers during the year,Female,700540,value in Absolute Number,As of February
2023-24,All India,22 to 25 years,Number of New EPF Subscribers during the year,Male,1787051,value in Absolute Number,As of February
2023-24,All India,22 to 25 years,Number of New EPF Subscribers during the year,Not Available,0,value in Absolute Number,As of February
2023-24,All India,Less than 18 years,Number of members that ceased subscribing during the year,Male,7431,value in Absolute Number,As of February
2023-24,All India,Less than 18 years,Number of New EPF Subscribers during the year,Total,79616,value in Absolute Number,As of February
2023-24,All India,Less than 18 years,Number of New EPF Subscribers during the year,Transgender,0,value in Absolute Number,As of February
2023-24,All India,Less than 18 years,Number of exited members who rejoined and resubscribed,Female,2556,value in Absolute Number,As of February
2023-24,All India,Less than 18 years,Number of exited members who rejoined and resubscribed,Male,3683,value in Absolute Number,As of February
2023-24,All India,Less than 18 years,Number of exited members who rejoined and resubscribed,Not Available,0,value in Absolute Number,As of February
2023-24,All India,Less than 18 years,Number of exited members who rejoined and resubscribed,Total,6239,value in Absolute Number,As of February
2023-24,All India,Less than 18 years,Number of members that ceased subscribing during the year,Female,4733,value in Absolute Number,As of February
2023-24,All India,Less than 18 years,Number of members that ceased subscribing during the year,Not Available,4,value in Absolute Number,As of February
2023-24,All India,22 to 25 years,Number of New EPF Subscribers during the year,Total,2487616,value in Absolute Number,As of February
2023-24,All India,Total,Number of exited members who rejoined and resubscribed,Total,13843105,value in Absolute Number,As of February
2023-24,All India,Total,Number of exited members who rejoined and resubscribed,Transgender,136,value in Absolute Number,As of February
2023-24,All India,Total,Number of members that ceased subscribing during the year,Female,1666780,value in Absolute Number,As of February
2023-24,All India,Total,Number of members that ceased subscribing during the year,Male,5695229,value in Absolute Number,As of February
2023-24,All India,Total,Number of members that ceased subscribing during the year,Not Available,716,value in Absolute Number,As of February
2023-24,All India,Total,Number of members that ceased subscribing during the year,Total,7362807,value in Absolute Number,As of February
2023-24,All India,Total,Number of members that ceased subscribing during the year,Transgender,82,value in Absolute Number,As of February
2023-24,All India,Less than 18 years,Number of New EPF Subscribers during the year,Not Available,2,value in Absolute Number,As of February
2023-24,All India,Less than 18 years,Number of New EPF Subscribers during the year,Male,61247,value in Absolute Number,As of February
2023-24,All India,Less than 18 years,Number of New EPF Subscribers during the year,Female,18367,value in Absolute Number,As of February
2023-24,All India,29 to 35 years,Number of members that ceased subscribing during the year,Transgender,23,value in Absolute Number,As of February
2023-24,All India,22 to 25 years,Number of New EPF Subscribers during the year,Transgender,25,value in Absolute Number,As of February
2023-24,All India,22 to 25 years,Number of exited members who rejoined and resubscribed,Female,527889,value in Absolute Number,As of February
2023-24,All India,29 to 35 years,Number of New EPF Subscribers during the year,Male,1033195,value in Absolute Number,As of February
2023-24,All India,29 to 35 years,Number of New EPF Subscribers during the year,Not Available,10,value in Absolute Number,As of February
2023-24,All India,29 to 35 years,Number of New EPF Subscribers during the year,Total,1479943,value in Absolute Number,As of February
2023-24,All India,29 to 35 years,Number of New EPF Subscribers during the year,Transgender,25,value in Absolute Number,As of February
2023-24,All India,29 to 35 years,Number of exited members who rejoined and resubscribed,Female,603861,value in Absolute Number,As of February
2023-24,All India,29 to 35 years,Number of exited members who rejoined and resubscribed,Male,3214259,value in Absolute Number,As of February
2023-24,All India,29 to 35 years,Number of exited members who rejoined and resubscribed,Not Available,0,value in Absolute Number,As of February
2023-24,All India,29 to 35 years,Number of exited members who rejoined and resubscribed,Total,3818166,value in Absolute Number,As of February
2023-24,All India,29 to 35 years,Number of exited members who rejoined and resubscribed,Transgender,46,value in Absolute Number,As of February
2023-24,All India,29 to 35 years,Number of members that ceased subscribing during the year,Female,387149,value in Absolute Number,As of February
2023-24,All India,29 to 35 years,Number of members that ceased subscribing during the year,Male,1465149,value in Absolute Number,As of February
2023-24,All India,29 to 35 years,Number of members that ceased subscribing during the year,Not Available,196,value in Absolute Number,As of February
2023-24,All India,29 to 35 years,Number of members that ceased subscribing during the year,Total,1852517,value in Absolute Number,As of February
2023-24,All India,26 to 28 years,Number of members that ceased subscribing during the year,Not Available,67,value in Absolute Number,As of February
2023-24,All India,Less than 18 years,Number of exited members who rejoined and resubscribed,Transgender,0,value in Absolute Number,As of February
2023-24,All India,Total,Number of New EPF Subscribers during the year,Male,7244881,value in Absolute Number,As of February
2023-24,All India,More than 35 years,Number of New EPF Subscribers during the year,Female,471956,value in Absolute Number,As of February
2023-24,All India,Total,Number of exited members who rejoined and resubscribed,Male,11520178,value in Absolute Number,As of February
2023-24,All India,Total,Number of exited members who rejoined and resubscribed,Female,2322790,value in Absolute Number,As of February
2023-24,All India,Total,Number of New EPF Subscribers during the year,Transgender,120,value in Absolute Number,As of February
2023-24,All India,More than 35 years,Number of exited members who rejoined and resubscribed,Transgender,35,value in Absolute Number,As of February
2023-24,All India,More than 35 years,Number of exited members who rejoined and resubscribed,Total,3397197,value in Absolute Number,As of February
2023-24,All India,More than 35 years,Number of exited members who rejoined and resubscribed,Not Available,1,value in Absolute Number,As of February
2023-24,All India,Total,Number of New EPF Subscribers during the year,Total,9799387,value in Absolute Number,As of February
2023-24,All India,Total,Number of New EPF Subscribers during the year,Not Available,31,value in Absolute Number,As of February
2023-24,All India,26 to 28 years,Number of members that ceased subscribing during the year,Transgender,19,value in Absolute Number,As of February
2023-24,All India,29 to 35 years,Number of New EPF Subscribers during the year,Female,446713,value in Absolute Number,As of February
2023-24,All India,More than 35 years,Number of New EPF Subscribers during the year,Not Available,14,value in Absolute Number,As of February
2023-24,All India,Less than 18 years,Number of members that ceased subscribing during the year,Transgender,0,value in Absolute Number,As of February
2023-24,All India,Less than 18 years,Number of members that ceased subscribing during the year,Total,12168,value in Absolute Number,As of February
2023-24,All India,More than 35 years,Number of exited members who rejoined and resubscribed,Male,2773888,value in Absolute Number,As of February
2023-24,All India,More than 35 years,Number of members that ceased subscribing during the year,Female,405369,value in Absolute Number,As of February
2023-24,All India,Total,Number of New EPF Subscribers during the year,Female,2554355,value in Absolute Number,As of February
2023-24,All India,More than 35 years,Number of members that ceased subscribing during the year,Transgender,24,value in Absolute Number,As of February
2023-24,All India,More than 35 years,Number of members that ceased subscribing during the year,Total,1837187,value in Absolute Number,As of February
2023-24,All India,More than 35 years,Number of exited members who rejoined and resubscribed,Female,623273,value in Absolute Number,As of February
2023-24,All India,More than 35 years,Number of members that ceased subscribing during the year,Male,1431367,value in Absolute Number,As of February
2023-24,All India,More than 35 years,Number of members that ceased subscribing during the year,Not Available,427,value in Absolute Number,As of February
2023-24,All India,More than 35 years,Number of New EPF Subscribers during the year,Total,1661060,value in Absolute Number,As of February
2023-24,All India,More than 35 years,Number of New EPF Subscribers during the year,Transgender,23,value in Absolute Number,As of February
2023-24,All India,More than 35 years,Number of New EPF Subscribers during the year,Male,1189067,value in Absolute Number,As of February
2022-23,All India,22 to 25 years,Number of New EPF Subscribers during the year,Male,2193298,value in Absolute Number,
2022-23,All India,18 to 21 years,Number of New EPF Subscribers during the year,Male,2663813,value in Absolute Number,
2022-23,All India,Less than 18 years,Number of New EPF Subscribers during the year,Male,69513,value in Absolute Number,
2022-23,All India,Less than 18 years,Number of members that ceased subscribing during the year,Female,6518,value in Absolute Number,
2022-23,All India,18 to 21 years,Number of exited members who rejoined and resubscribed,Total,1297462,value in Absolute Number,
2022-23,All India,Less than 18 years,Number of exited members who rejoined and resubscribed,Total,8165,value in Absolute Number,
2022-23,All India,Total,Number of exited members who rejoined and resubscribed,Male,13020822,value in Absolute Number,
2022-23,All India,More than 35 years,Number of exited members who rejoined and resubscribed,Male,2968022,value in Absolute Number,
2022-23,All India,29 to 35 years,Number of exited members who rejoined and resubscribed,Not Available,1,value in Absolute Number,
2022-23,All India,29 to 35 years,Number of exited members who rejoined and resubscribed,Male,3546281,value in Absolute Number,
2022-23,All India,26 to 28 years,Number of exited members who rejoined and resubscribed,Male,2354736,value in Absolute Number,
2022-23,All India,Less than 18 years,Number of New EPF Subscribers during the year,Transgender,1,value in Absolute Number,
2022-23,All India,Less than 18 years,Number of members that ceased subscribing during the year,Male,12574,value in Absolute Number,
2022-23,All India,18 to 21 years,Number of members that ceased subscribing during the year,Male,1173314,value in Absolute Number,
2022-23,All India,22 to 25 years,Number of members that ceased subscribing during the year,Male,2393856,value in Absolute Number,
2022-23,All India,26 to 28 years,Number of members that ceased subscribing during the year,Male,1733099,value in Absolute Number,
2022-23,All India,29 to 35 years,Number of members that ceased subscribing during the year,Male,2702310,value in Absolute Number,
2022-23,All India,More than 35 years,Number of members that ceased subscribing during the year,Male,2528627,value in Absolute Number,
2022-23,All India,Total,Number of members that ceased subscribing during the year,Male,10543780,value in Absolute Number,
2022-23,All India,Less than 18 years,Number of New EPF Subscribers during the year,Transgender,1,value in Absolute Number,
2022-23,All India,18 to 21 years,Number of New EPF Subscribers during the year,Transgender,18,value in Absolute Number,
2022-23,All India,22 to 25 years,Number of New EPF Subscribers during the year,Transgender,26,value in Absolute Number,
2022-23,All India,26 to 28 years,Number of New EPF Subscribers during the year,Transgender,22,value in Absolute Number,
2022-23,All India,29 to 35 years,Number of New EPF Subscribers during the year,Transgender,31,value in Absolute Number,
2022-23,All India,More than 35 years,Number of New EPF Subscribers during the year,Transgender,41,value in Absolute Number,
2022-23,All India,Total,Number of New EPF Subscribers during the year,Transgender,139,value in Absolute Number,
2022-23,All India,29 to 35 years,Number of New EPF Subscribers during the year,Male,1252947,value in Absolute Number,
2022-23,All India,Less than 18 years,Number of exited members who rejoined and resubscribed,Male,4944,value in Absolute Number,
2022-23,All India,18 to 21 years,Number of exited members who rejoined and resubscribed,Male,1091821,value in Absolute Number,
2022-23,All India,22 to 25 years,Number of exited members who rejoined and resubscribed,Male,3055018,value in Absolute Number,
2022-23,All India,26 to 28 years,Number of New EPF Subscribers during the year,Male,918524,value in Absolute Number,
2022-23,All India,22 to 25 years,Number of exited members who rejoined and resubscribed,Total,3699594,value in Absolute Number,
2022-23,All India,More than 35 years,Number of New EPF Subscribers during the year,Male,1407985,value in Absolute Number,
2022-23,All India,Total,Number of exited members who rejoined and resubscribed,Transgender,174,value in Absolute Number,
2022-23,All India,26 to 28 years,Number of New EPF Subscribers during the year,Not Available,5,value in Absolute Number,
2022-23,All India,29 to 35 years,Number of New EPF Subscribers during the year,Not Available,12,value in Absolute Number,
2022-23,All India,More than 35 years,Number of New EPF Subscribers during the year,Not Available,37,value in Absolute Number,
2022-23,All India,Total,Number of New EPF Subscribers during the year,Not Available,71,value in Absolute Number,
2022-23,All India,29 to 35 years,Number of New EPF Subscribers during the year,Female,546366,value in Absolute Number,
2022-23,All India,More than 35 years,Number of New EPF Subscribers during the year,Female,557100,value in Absolute Number,
2022-23,All India,Total,Number of New EPF Subscribers during the year,Female,2992163,value in Absolute Number,
2022-23,All India,More than 35 years,Number of exited members who rejoined and resubscribed,Transgender,38,value in Absolute Number,
2022-23,All India,Total,Number of New EPF Subscribers during the year,Male,8506080,value in Absolute Number,
2022-23,All India,29 to 35 years,Number of exited members who rejoined and resubscribed,Transgender,49,value in Absolute Number,
2022-23,All India,26 to 28 years,Number of exited members who rejoined and resubscribed,Transgender,49,value in Absolute Number,
2022-23,All India,Less than 18 years,Number of members that ceased subscribing during the year,Male,12574,value in Absolute Number,
2022-23,All India,18 to 21 years,Number of members that ceased subscribing during the year,Male,1173314,value in Absolute Number,
2022-23,All India,22 to 25 years,Number of members that ceased subscribing during the year,Male,2393856,value in Absolute Number,
2022-23,All India,26 to 28 years,Number of members that ceased subscribing during the year,Male,1733099,value in Absolute Number,
2022-23,All India,29 to 35 years,Number of members that ceased subscribing during the year,Male,2702310,value in Absolute Number,
2022-23,All India,22 to 25 years,Number of New EPF Subscribers during the year,Not Available,12,value in Absolute Number,
2022-23,All India,18 to 21 years,Number of New EPF Subscribers during the year,Not Available,5,value in Absolute Number,
2022-23,All India,Less than 18 years,Number of New EPF Subscribers during the year,Not Available,0,value in Absolute Number,
2022-23,All India,More than 35 years,Number of members that ceased subscribing during the year,Transgender,38,value in Absolute Number,
2022-23,All India,22 to 25 years,Number of New EPF Subscribers during the year,Transgender,26,value in Absolute Number,
2022-23,All India,26 to 28 years,Number of exited members who rejoined and resubscribed,Total,2818617,value in Absolute Number,
2022-23,All India,29 to 35 years,Number of exited members who rejoined and resubscribed,Total,4250622,value in Absolute Number,
2022-23,All India,More than 35 years,Number of exited members who rejoined and resubscribed,Total,3646039,value in Absolute Number,
2022-23,All India,Total,Number of exited members who rejoined and resubscribed,Total,15720499,value in Absolute Number,
2022-23,All India,26 to 28 years,Number of New EPF Subscribers during the year,Transgender,22,value in Absolute Number,
2022-23,All India,Less than 18 years,Number of members that ceased subscribing during the year,Transgender,0,value in Absolute Number,
2022-23,All India,18 to 21 years,Number of members that ceased subscribing during the year,Transgender,2,value in Absolute Number,
2022-23,All India,22 to 25 years,Number of members that ceased subscribing during the year,Transgender,30,value in Absolute Number,
2022-23,All India,26 to 28 years,Number of members that ceased subscribing during the year,Transgender,34,value in Absolute Number,
2022-23,All India,29 to 35 years,Number of members that ceased subscribing during the year,Transgender,39,value in Absolute Number,
2022-23,All India,Less than 18 years,Number of New EPF Subscribers during the year,Female,18988,value in Absolute Number,
2022-23,All India,18 to 21 years,Number of New EPF Subscribers during the year,Female,715017,value in Absolute Number,
2022-23,All India,22 to 25 years,Number of New EPF Subscribers during the year,Female,837331,value in Absolute Number,
2022-23,All India,26 to 28 years,Number of New EPF Subscribers during the year,Female,317361,value in Absolute Number,
2022-23,All India,18 to 21 years,Number of New EPF Subscribers during the year,Transgender,18,value in Absolute Number,
2022-23,All India,Total,Number of New EPF Subscribers during the year,Male,8506080,value in Absolute Number,
2022-23,All India,26 to 28 years,Number of New EPF Subscribers during the year,Transgender,22,value in Absolute Number,
2022-23,All India,Less than 18 years,Number of exited members who rejoined and resubscribed,Transgender,0,value in Absolute Number,
2022-23,All India,26 to 28 years,Number of members that ceased subscribing during the year,Female,459130,value in Absolute Number,
2022-23,All India,29 to 35 years,Number of members that ceased subscribing during the year,Female,675527,value in Absolute Number,
2022-23,All India,More than 35 years,Number of members that ceased subscribing during the year,Female,692235,value in Absolute Number,
2022-23,All India,Total,Number of members that ceased subscribing during the year,Female,2821971,value in Absolute Number,
2022-23,All India,18 to 21 years,Number of New EPF Subscribers during the year,Total,3378853,value in Absolute Number,
2022-23,All India,26 to 28 years,Number of exited members who rejoined and resubscribed,Transgender,49,value in Absolute Number,
2022-23,All India,22 to 25 years,Number of exited members who rejoined and resubscribed,Transgender,38,value in Absolute Number,
2022-23,All India,18 to 21 years,Number of exited members who rejoined and resubscribed,Transgender,0,value in Absolute Number,
2022-23,All India,Less than 18 years,Number of members that ceased subscribing during the year,Transgender,0,value in Absolute Number,
2022-23,All India,29 to 35 years,Number of New EPF Subscribers during the year,Transgender,31,value in Absolute Number,
2022-23,All India,18 to 21 years,Number of members that ceased subscribing during the year,Transgender,2,value in Absolute Number,
2022-23,All India,22 to 25 years,Number of members that ceased subscribing during the year,Transgender,30,value in Absolute Number,
2022-23,All India,26 to 28 years,Number of members that ceased subscribing during the year,Transgender,34,value in Absolute Number,
2022-23,All India,29 to 35 years,Number of members that ceased subscribing during the year,Transgender,39,value in Absolute Number,
2022-23,All India,More than 35 years,Number of members that ceased subscribing during the year,Transgender,38,value in Absolute Number,
2022-23,All India,Total,Number of members that ceased subscribing during the year,Transgender,143,value in Absolute Number,
2022-23,All India,Less than 18 years,Number of members that ceased subscribing during the year,Total,19097,value in Absolute Number,
2022-23,All India,18 to 21 years,Number of members that ceased subscribing during the year,Total,1450388,value in Absolute Number,
2022-23,All India,22 to 25 years,Number of members that ceased subscribing during the year,Female,711492,value in Absolute Number,
2022-23,All India,18 to 21 years,Number of members that ceased subscribing during the year,Female,277069,value in Absolute Number,
2022-23,All India,Total,Number of New EPF Subscribers during the year,Transgender,139,value in Absolute Number,
2022-23,All India,More than 35 years,Number of New EPF Subscribers during the year,Transgender,41,value in Absolute Number,
2022-23,All India,26 to 28 years,Number of exited members who rejoined and resubscribed,Not Available,0,value in Absolute Number,
2022-23,All India,29 to 35 years,Number of exited members who rejoined and resubscribed,Not Available,1,value in Absolute Number,
2022-23,All India,More than 35 years,Number of exited members who rejoined and resubscribed,Not Available,6,value in Absolute Number,
2022-23,All India,Total,Number of exited members who rejoined and resubscribed,Not Available,7,value in Absolute Number,
2022-23,All India,Less than 18 years,Number of members that ceased subscribing during the year,Female,6518,value in Absolute Number,
2022-23,All India,26 to 28 years,Number of exited members who rejoined and resubscribed,Transgender,49,value in Absolute Number,
2022-23,All India,29 to 35 years,Number of exited members who rejoined and resubscribed,Transgender,49,value in Absolute Number,
2022-23,All India,More than 35 years,Number of exited members who rejoined and resubscribed,Transgender,38,value in Absolute Number,
2022-23,All India,Total,Number of exited members who rejoined and resubscribed,Transgender,174,value in Absolute Number,
2022-23,All India,Less than 18 years,Number of New EPF Subscribers during the year,Transgender,1,value in Absolute Number,
2022-23,All India,18 to 21 years,Number of New EPF Subscribers during the year,Transgender,18,value in Absolute Number,
2022-23,All India,22 to 25 years,Number of New EPF Subscribers during the year,Transgender,26,value in Absolute Number,
2022-23,All India,26 to 28 years,Number of New EPF Subscribers during the year,Transgender,22,value in Absolute Number,
2022-23,All India,Total,Number of exited members who rejoined and resubscribed,Transgender,174,value in Absolute Number,
2022-23,All India,More than 35 years,Number of exited members who rejoined and resubscribed,Transgender,38,value in Absolute Number,
2022-23,All India,29 to 35 years,Number of exited members who rejoined and resubscribed,Transgender,49,value in Absolute Number,
2022-23,All India,29 to 35 years,Number of New EPF Subscribers during the year,Transgender,31,value in Absolute Number,
2022-23,All India,Less than 18 years,Number of New EPF Subscribers during the year,Total,88502,value in Absolute Number,
2022-23,All India,Total,Number of members that ceased subscribing during the year,Transgender,143,value in Absolute Number,
2022-23,All India,More than 35 years,Number of members that ceased subscribing during the year,Transgender,38,value in Absolute Number,
2022-23,All India,26 to 28 years,Number of members that ceased subscribing during the year,Female,459130,value in Absolute Number,
2022-23,All India,26 to 28 years,Number of exited members who rejoined and resubscribed,Transgender,49,value in Absolute Number,
2022-23,All India,29 to 35 years,Number of exited members who rejoined and resubscribed,Transgender,49,value in Absolute Number,
2022-23,All India,More than 35 years,Number of exited members who rejoined and resubscribed,Transgender,38,value in Absolute Number,
2022-23,All India,Total,Number of exited members who rejoined and resubscribed,Transgender,174,value in Absolute Number,
2022-23,All India,Less than 18 years,Number of New EPF Subscribers during the year,Male,69513,value in Absolute Number,
2022-23,All India,18 to 21 years,Number of New EPF Subscribers during the year,Male,2663813,value in Absolute Number,
2022-23,All India,18 to 21 years,Number of members that ceased subscribing during the year,Total,1450388,value in Absolute Number,
2022-23,All India,Less than 18 years,Number of members that ceased subscribing during the year,Total,19097,value in Absolute Number,
2022-23,All India,22 to 25 years,Number of New EPF Subscribers during the year,Male,2193298,value in Absolute Number,
2022-23,All India,26 to 28 years,Number of New EPF Subscribers during the year,Male,918524,value in Absolute Number,
2022-23,All India,29 to 35 years,Number of New EPF Subscribers during the year,Male,1252947,value in Absolute Number,
2022-23,All India,More than 35 years,Number of New EPF Subscribers during the year,Male,1407985,value in Absolute Number,
2022-23,All India,22 to 25 years,Number of exited members who rejoined and resubscribed,Transgender,38,value in Absolute Number,
2022-23,All India,22 to 25 years,Number of members that ceased subscribing during the year,Female,711492,value in Absolute Number,
2022-23,All India,18 to 21 years,Number of members that ceased subscribing during the year,Female,277069,value in Absolute Number,
2022-23,All India,Total,Number of New EPF Subscribers during the year,Transgender,139,value in Absolute Number,
2022-23,All India,More than 35 years,Number of New EPF Subscribers during the year,Transgender,41,value in Absolute Number,
2022-23,All India,22 to 25 years,Number of exited members who rejoined and resubscribed,Transgender,38,value in Absolute Number,
2022-23,All India,29 to 35 years,Number of members that ceased subscribing during the year,Female,675527,value in Absolute Number,
2022-23,All India,22 to 25 years,Number of members that ceased subscribing during the year,Total,3105413,value in Absolute Number,
2022-23,All India,More than 35 years,Number of members that ceased subscribing during the year,Female,692235,value in Absolute Number,
2022-23,All India,26 to 28 years,Number of members that ceased subscribing during the year,Total,2192373,value in Absolute Number,
2022-23,All India,29 to 35 years,Number of members that ceased subscribing during the year,Total,3378284,value in Absolute Number,
2022-23,All India,More than 35 years,Number of members that ceased subscribing during the year,Total,3221708,value in Absolute Number,
2022-23,All India,Total,Number of members that ceased subscribing during the year,Total,13367263,value in Absolute Number,
2022-23,All India,29 to 35 years,Number of members that ceased subscribing during the year,Transgender,39,value in Absolute Number,
2022-23,All India,26 to 28 years,Number of members that ceased subscribing during the year,Transgender,34,value in Absolute Number,
2022-23,All India,22 to 25 years,Number of members that ceased subscribing during the year,Transgender,30,value in Absolute Number,
2022-23,All India,18 to 21 years,Number of members that ceased subscribing during the year,Transgender,2,value in Absolute Number,
2022-23,All India,Less than 18 years,Number of members that ceased subscribing during the year,Transgender,0,value in Absolute Number,
2022-23,All India,Total,Number of members that ceased subscribing during the year,Total,13367263,value in Absolute Number,
2022-23,All India,More than 35 years,Number of members that ceased subscribing during the year,Total,3221708,value in Absolute Number,
2022-23,All India,29 to 35 years,Number of members that ceased subscribing during the year,Total,3378284,value in Absolute Number,
2022-23,All India,26 to 28 years,Number of members that ceased subscribing during the year,Total,2192373,value in Absolute Number,
2022-23,All India,22 to 25 years,Number of members that ceased subscribing during the year,Total,3105413,value in Absolute Number,
2022-23,All India,Less than 18 years,Number of exited members who rejoined and resubscribed,Transgender,0,value in Absolute Number,
2022-23,All India,18 to 21 years,Number of exited members who rejoined and resubscribed,Transgender,0,value in Absolute Number,
2022-23,All India,Total,Number of members that ceased subscribing during the year,Female,2821971,value in Absolute Number,
2022-23,All India,More than 35 years,Number of members that ceased subscribing during the year,Male,2528627,value in Absolute Number,
2022-23,All India,Total,Number of members that ceased subscribing during the year,Transgender,143,value in Absolute Number,
2022-23,All India,18 to 21 years,Number of exited members who rejoined and resubscribed,Transgender,0,value in Absolute Number,
2022-23,All India,22 to 25 years,Number of New EPF Subscribers during the year,Transgender,26,value in Absolute Number,
2022-23,All India,More than 35 years,Number of New EPF Subscribers during the year,Total,1965163,value in Absolute Number,
2022-23,All India,29 to 35 years,Number of New EPF Subscribers during the year,Total,1799356,value in Absolute Number,
2022-23,All India,26 to 28 years,Number of New EPF Subscribers during the year,Total,1235912,value in Absolute Number,
2022-23,All India,22 to 25 years,Number of New EPF Subscribers during the year,Total,3030667,value in Absolute Number,
2022-23,All India,18 to 21 years,Number of New EPF Subscribers during the year,Transgender,18,value in Absolute Number,
2022-23,All India,22 to 25 years,Number of New EPF Subscribers during the year,Transgender,26,value in Absolute Number,
2022-23,All India,Less than 18 years,Number of New EPF Subscribers during the year,Transgender,1,value in Absolute Number,
2022-23,All India,18 to 21 years,Number of New EPF Subscribers during the year,Transgender,18,value in Absolute Number,
2022-23,All India,26 to 28 years,Number of New EPF Subscribers during the year,Transgender,22,value in Absolute Number,
2022-23,All India,Less than 18 years,Number of New EPF Subscribers during the year,Transgender,1,value in Absolute Number,
2022-23,All India,29 to 35 years,Number of New EPF Subscribers during the year,Transgender,31,value in Absolute Number,
2022-23,All India,More than 35 years,Number of New EPF Subscribers during the year,Transgender,41,value in Absolute Number,
2022-23,All India,Less than 18 years,Number of exited members who rejoined and resubscribed,Not Available,0,value in Absolute Number,
2022-23,All India,18 to 21 years,Number of exited members who rejoined and resubscribed,Not Available,0,value in Absolute Number,
2022-23,All India,22 to 25 years,Number of exited members who rejoined and resubscribed,Not Available,0,value in Absolute Number,
2022-23,All India,26 to 28 years,Number of exited members who rejoined and resubscribed,Not Available,0,value in Absolute Number,
2022-23,All India,29 to 35 years,Number of exited members who rejoined and resubscribed,Not Available,1,value in Absolute Number,
